50,0.44575706,5.597,,0.008915141
100,0.5544093,11.267,,
150,0.5544093,16.955,,
200,0.5550749,21.806,,
250,0.44891846,25.847,,
300,0.5544093,33.163,,
350,0.4608985,37.832,,
400,0.5544093,44.412,,
450,0.5545757,45.376,,
500,0.547421,54.486,,
550,0.49018303,59.122,,
600,0.51680535,64.3,,
650,0.44559067,70.49,,
700,0.55740434,70.283,,
750,0.5252912,80.737,,
800,0.5542429,84.43,,
850,0.44559067,90.234,,
900,0.5544093,95.873,,
950,0.5545757,101.194,,
1000,0.5916805,108.019,,
1050,0.5544093,123.138,,
1100,0.48951748,135.469,,
1150,0.47886854,122.22,,
1200,0.55973375,140.107,,
1250,0.5608985,135.052,,
1300,0.5733777,145.64,,
1350,0.5635607,152.674,,
1400,0.5301165,155.392,,
1450,0.45124793,160.031,,
1500,0.56173044,166.567,,
1550,0.5545757,160.466,,
1600,0.5545757,176.403,,
1650,0.44559067,181.794,,
1700,0.57287854,204.256,,
1750,0.4515807,193.795,,
1800,0.44559067,201.07,,
1850,0.5562396,199.228,,
1900,0.44559067,204.344,,
1950,0.55840266,207.569,,
2000,0.55840266,207.867,,
2050,0.58968383,210.543,,
2100,0.5638935,248.242,,
2150,0.44725457,241.651,,
2200,0.5572379,229.669,,
2250,0.5544093,242.622,,
2300,0.5767055,236.432,,
2350,0.58452576,240.195,,
2400,0.5544093,248.215,,
2450,0.55873543,264.187,,
2500,0.5670549,253.627,,
2550,0.49733776,269.319,,
2600,0.6046589,280.448,,
2650,0.61014974,282.653,,
2700,0.5620632,283.594,,
2750,0.59001666,304.069,,
2800,0.6113145,331.592,,
2850,0.5544093,305.788,,
2900,0.5544093,301.805,,
2950,0.48219633,314.681,,
3000,0.6394343,305.235,,0.000213145
