50,0.5544093,5.499,,,,,,
100,0.5544093,10.746,,,,,,
150,0.44559067,16.602,,,,,,
200,0.5544093,22.033,,-0.10033277,,-3.58331E-05,0.45407653,
250,0.47953412,27.629,,2800,,,,
300,0.5544093,31.013,,,,,2800,5800
350,0.502995,39.032,,,,,,
400,0.44559067,44.131,,,,,,
450,0.44908485,59.754,,,,,,
500,0.569218,56.42,,,,,,
550,0.4951747,57.429,,,,,,
600,0.4517471,63.844,,,,,,
650,0.5613977,70.839,,,,,,
700,0.44559067,75.161,,,,,,
750,0.55557406,80.985,,,,,,
800,0.5643927,86.793,,,,,,
850,0.48752078,88.428,,,,,,
900,0.5577371,95.733,,,,,,
950,0.5544093,96.653,,,,,,
1000,0.5199667,108.201,,,,,,
1050,0.45207986,115.332,,,,,,
1100,0.5595674,120.493,,,,,,
1150,0.44708818,128.672,,,,,,
1200,0.5544093,140.36,,,,,,
1250,0.44808653,128.341,,,,,,
1300,0.5301165,139.914,,,,,,
1350,0.55990016,141.374,,,,,,
1400,0.5550749,145.936,,,,,,
1450,0.57088184,158.629,,,,,,
1500,0.44575706,153.904,,,,,,
1550,0.58069885,160.076,,,,,,
1600,0.5575707,171.077,,,,,,
1650,0.55990016,172.444,,,,,,
1700,0.5625624,182.693,,,,,,
1750,0.44559067,193.798,,,,,,
1800,0.55973375,201.237,,,,,,
1850,0.44559067,190.422,,,,,,
1900,0.6191348,205.068,,,,,,
1950,0.55707157,195.653,,,,,,
2000,0.5557404,194.053,,,,,,
2050,0.5765391,186.495,,,,,,
2100,0.4655574,211.872,,,,,,
2150,0.60232943,207.939,,,,,,
2200,0.5544093,207.151,,,,,,
2250,0.5703827,216.507,,,,,,
2300,0.56755406,225.937,,,,,,
2350,0.56905156,232.887,,,,,,
2400,0.5670549,264.168,,,,,,
2450,0.5923461,230.565,,,,,,
2500,0.57004994,230.153,,,,,,
2550,0.5732113,258.274,,,,,,
2600,0.5831947,251.617,,,,,,
2650,0.5544093,252.824,,,,,,
2700,0.55690515,266.674,,,,,,
2750,0.53410983,273.526,,,,,,
2800,0.44559067,255.567,,,,,,
2850,0.58935106,299.944,,,,,,
2900,0.5620632,293.692,,,,,,
2950,0.569218,273.794,,,,,,
3000,0.45407653,307.684,,,,,,
