5,0.5544093,5.988
10,0.5544093,11.321
15,0.5544093,16.883
20,0.5595674,23.127
25,0.5550749,28.005
30,0.55973375,37.856
35,0.5545757,42.751
40,0.57154745,46.459
45,0.5567388,53.01
50,0.5544093,59.539
55,0.5562396,67.287
60,0.5640599,71.251
65,0.5549085,82.512
70,0.5544093,82.021
75,0.5795341,63.192
80,0.5740433,97.922
85,0.5545757,79.812
90,0.57437605,111.037
95,0.5549085,113.709
100,0.55557406,119.399
105,0.5544093,132.732
110,0.5572379,151.364
115,0.5585691,152.025
120,0.55690515,155.627
125,0.5625624,147.33
130,0.5557404,153.255
135,0.55540764,169.331
140,0.55690515,181.485
145,0.5544093,184.051
150,0.55990016,188.054
155,0.5542429,123.498
160,0.5615641,181.173
165,0.5544093,195.993
170,0.55690515,212.217
175,0.5550749,214.346
180,0.5640599,216.985
185,0.55391014,226.332
190,0.56023294,228.648
195,0.5808652,229.341
200,0.56173044,224.885
205,0.5575707,220.935
210,0.5783694,296.383
215,0.5552413,261.062
220,0.5673877,252.291
225,0.5547421,279.223
230,0.5717138,284.477
235,0.55990016,297.598
240,0.59517473,316.27
245,0.5545757,322.348
250,0.5547421,301.869
255,0.5527454,327.415
260,0.57770383,296.059
265,0.56622297,270.883
270,0.5565724,360.256
275,0.5544093,342.08
280,0.5544093,388.457
285,0.562396,334.896
290,0.5735441,298.768
295,0.5605657,358.071
300,0.5687188,341.846
