0.000000000000000000e+00,4.100000000000000000e+02
5.000000000000000104e-04,6.415000000000000568e+01
5.500000000000000331e-04,5.866666666666666430e+01
6.000000000000000559e-04,5.631666666666666998e+01
6.500000000000000786e-04,5.621666666666666856e+01
7.000000000000001013e-04,5.606666666666666998e+01
7.500000000000001240e-04,5.568333333333333002e+01
8.000000000000001468e-04,5.471666666666666856e+01
8.500000000000001695e-04,5.471666666666666856e+01
9.000000000000001922e-04,5.471666666666666856e+01
9.500000000000002149e-04,5.420000000000000284e+01
